-67.808, -67.279, 97.971
-67.766, -65.28, 97.971
-67.725, -63.28, 97.971
-67.684, -61.28, 97.971
-67.643, -59.281, 97.971
-67.588, -57.282, 97.373
-67.428, -55.288, 97.373
-67.267, -53.295, 97.373
-67.106, -51.301, 97.373
-66.945, -49.308, 97.373
-66.687, -47.326, 96.608
-66.388, -45.348, 96.608
-66.088, -43.371, 96.608
-65.789, -41.393, 96.608
-65.373, -39.438, 95.662
-64.914, -37.492, 95.662
-64.456, -35.545, 95.662
-63.969, -33.606, 94.558
-63.33, -31.711, 94.558
-62.692, -29.816, 94.558
-62.053, -27.92, 94.558
-61.232, -26.097, 93.385
-60.396, -24.281, 93.385
-59.56, -22.464, 93.385
-58.519, -20.756, 92.311
-57.475, -19.051, 92.311
-56.374, -17.384, 91.555
-55.121, -15.826, 91.555
-53.868, -14.267, 91.555
-52.473, -12.839, 91.303
-51.025, -11.458, 91.303
-49.525, -10.142, 91.606
-47.91, -8.962, 91.606
-46.295, -7.782, 91.606
-44.55, -6.805, 92.365
-42.802, -5.833, 92.365
-40.989, -4.996, 93.392
-39.144, -4.225, 93.392
-37.275, -3.518, 94.506
-35.363, -2.931, 94.506
-33.451, -2.345, 95.583
-31.497, -1.918, 95.583
-29.543, -1.49, 95.583
-27.574, -1.145, 96.563
-25.596, -0.85, 96.563
-23.616, -0.576, 97.432
-21.624, -0.388, 97.432
-19.633, -0.2, 97.432
-17.638, -0.069, 98.202
-15.641, 0.037, 98.202
-13.643, 0.133, 98.895
-11.644, 0.181, 98.895
-9.644, 0.23, 98.895
-7.645, 0.256, 99.54
-5.645, 0.268, 99.54
-3.645, 0.28, 99.834
-1.645, 0.277, 99.834
0.355, 0.275, 99.834
2.355, 0.275, 99.196
4.355, 0.278, 99.196
6.355, 0.281, 99.196
8.355, 0.308, 98.518
10.355, 0.337, 98.518
12.354, 0.384, 97.768
14.353, 0.461, 97.768
16.351, 0.538, 97.768
18.346, 0.674, 96.918
20.341, 0.822, 96.918
22.332, 1.004, 95.948
24.317, 1.248, 95.948
26.302, 1.492, 95.948
28.27, 1.849, 94.855
30.236, 2.215, 94.855
32.184, 2.663, 93.68
34.116, 3.18, 93.68
36.036, 3.734, 92.522
37.912, 4.427, 92.522
39.788, 5.12, 92.522
41.585, 5.996, 91.558
