-58.222, 55.218, 97.509
-58.155, 53.219, 97.509
-58.089, 51.221, 97.509
-58.023, 49.222, 97.509
-57.914, 47.225, 96.671
-57.74, 45.233, 96.671
-57.566, 43.24, 96.671
-57.369, 41.251, 95.532
-57.068, 39.274, 95.532
-56.767, 37.296, 95.532
-56.416, 35.329, 94.013
-55.966, 33.38, 94.013
-55.516, 31.431, 94.013
-54.924, 29.522, 92.067
-54.3, 27.622, 92.067
-53.562, 25.766, 89.748
-52.741, 23.942, 89.748
-51.792, 22.186, 87.306
-50.754, 20.476, 87.306
-49.536, 18.894, 85.226
-48.236, 17.379, 84.086
-46.763, 16.025, 84.086
-45.166, 14.829, 84.236
-43.475, 13.768, 85.578
-41.679, 12.889, 85.578
-39.799, 12.211, 87.672
-37.878, 11.664, 90.037
-35.924, 11.242, 92.353
-33.941, 10.981, 92.353
-31.949, 10.812, 94.482
-29.952, 10.713, 96.417
-27.952, 10.689, 96.417
-25.953, 10.719, 98.221
-23.954, 10.773, 99.995
-21.955, 10.848, 99.995
-19.956, 10.923, 98.139
-17.957, 10.982, 96.042
-15.958, 11.017, 93.562
-13.958, 10.988, 91.811
-11.962, 10.88, 89.003
-9.973, 10.679, 86.104
-8, 10.36, 83.103
-6.063, 9.862, 82.714
-4.198, 9.145, 79.587
-2.435, 8.211, 77.619
-0.812, 7.056, 78.153
0.648, 5.697, 81.019
1.909, 4.144, 81.019
2.926, 2.425, 85.014
3.799, 0.631, 88.902
4.519, -1.235, 88.902
5.055, -3.159, 92.057
5.54, -5.099, 92.057
5.845, -7.075, 94.385
6.131, -9.054, 94.385
6.294, -11.046, 96.025
6.416, -13.042, 96.025
6.502, -15.04, 97.16
6.489, -17.04, 97.16
6.477, -19.04, 97.16
6.417, -21.038, 97.945
6.296, -23.034, 97.945
6.175, -25.031, 97.945
6.034, -27.025, 98.492
5.823, -29.014, 96.212
5.613, -31.003, 93.535
5.402, -32.992, 90.779
5.15, -34.976, 87.937
4.866, -36.955, 84.999
4.581, -38.935, 81.956
4.297, -40.915, 78.796
3.984, -42.89, 75.504
3.639, -44.86, 72.062
3.293, -46.83, 68.446
2.948, -48.8, 64.629
2.603, -50.77, 60.571
2.212, -52.731, 56.222
1.815, -54.691, 51.506
1.419, -56.652, 46.313
1.022, -58.612, 40.459
0.625, -60.572, 33.599
0.205, -62.527, 24.918
-0.317, -64.916, 0
-0.317, -64.916, 0
-4.586, -84.455, 0
endData
127
100
200
-58.222, 55.218, -57.261, -44.973, 31.398, 77.563, -0.317, -64.916
#PATH.JERRYIO-DATA {"appVersion":"0.11.0","format":"LemLib v0.5","gc":{"robotWidth":12,"robotHeight":12,"robotIsHolonomic":false,"showRobot":false,"uol":2.54,"pointDensity":2,"controlMagnetDistance":1.968503937007874,"fieldImage":{"displayName":"V5RC Field Perimeter","signature":"VRC Field Perimeter","origin":{"__type":"built-in"}},"coordinateSystem":"Path-Based Coordinates"},"paths":[{"segments":[{"controls":[{"uid":"V6124EYhru","x":-58.22172053182423,"y":55.218371626872916,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"FO5zAvUAYv","x":-57.26064888223981,"y":-44.97334784230299,"lock":false,"visible":true,"__type":"control"},{"uid":"x14pk0FFC8","x":31.39821079192304,"y":77.56328747971071,"lock":false,"visible":true,"__type":"control"},{"uid":"SvfRmjsUbD","x":-0.31715364436285737,"y":-64.91558457117972,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"EYrQxyVJ9s"}],"pc":{"speedLimit":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":127,"label":"127"},"step":1,"from":20,"to":100},"bentRateApplicableRange":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":1,"label":"1"},"step":0.001,"from":0,"to":0.1},"maxDecelerationRate":127},"name":"Path","uid":"WADzpJ7aFK","lock":false,"visible":true}]}
